Sr_No,State,MP_Name,Constituency,Allocated_Amount,Constituency_Type,Deviation,Deviation_Pct,Allocation_Bucket
472.0,Maharashtra,Shyamkumar,RAMTEK(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
473.0,Andhra Pradesh,Sivanath Kesineni,VIJAYAWADA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
474.0,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,General,-98000000.0,-66.67,< ₹10 Cr (Severely Low)
475.0,Maharashtra,SMITA UDAY WAGH,JALGAON,148107373.11,General,1107373.1100000143,0.75,₹14.7-20 Cr (Moderately High)
476.0,Uttar Pradesh,Smt Anupriya Patel,MIRZAPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
477.0,Odisha,Smt Aparajita Sarangi,BHUBANESWAR,147420861.41,General,420861.4099999964,0.29,₹14.7-20 Cr (Moderately High)
478.0,Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.11,General,45042469.110000014,30.64,₹14.7-20 Cr (Moderately High)
479.0,Punjab,Smt Harsimrat Kaur Badal,BHATINDA,159775982.39,General,12775982.389999986,8.69,₹14.7-20 Cr (Moderately High)
480.0,Uttar Pradesh,Smt Hema Malini,MATHURA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
481.0,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,ST,3724861.1100000143,2.53,₹14.7-20 Cr (Moderately High)
482.0,Gujarat,Smt Poonamben Hematbhai Maadam,JAMNAGAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
483.0,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,General,6112586.110000014,4.16,₹14.7-20 Cr (Moderately High)
484.0,Tamil Nadu,Smt S Jothimani,KARUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
485.0,West Bengal,Smt Sajda Ahmed,ULUBERIA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
486.0,Madhya Pradesh,Smt Sandhya Ray,BHIND(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
487.0,Odisha,Smt Sangeeta Kumari Singh Deo,BOLANGIR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
488.0,West Bengal,Smt Satabdi Roy (Banerjee),BIRBHUM,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
489.0,Maharashtra,Smt Supriya Sadanand Sule,BARAMATI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
490.0,Bihar,Smt Veena Devi,VAISHALI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
491.0,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922.0,General,17841922.0,12.14,₹14.7-20 Cr (Moderately High)
492.0,Bihar,SUDAMA PRASAD,ARRAH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
493.0,Tamil Nadu,SUDHA R,MAYILADUTHURAI,147332315.11,General,332315.1100000143,0.23,₹14.7-20 Cr (Moderately High)
494.0,Bihar,SUDHAKAR SINGH,BUXAR,185211956.54,General,38211956.53999999,25.99,₹14.7-20 Cr (Moderately High)
495.0,West Bengal,Sudip Bandyopadhyay,KOLKATA UTTAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
496.0,Odisha,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,190712424.11,General,43712424.110000014,29.74,₹14.7-20 Cr (Moderately High)
497.0,Jharkhand,SUKHDEO BHAGAT,LOHARDAGA(ST),171821957.11,ST,24821957.110000014,16.89,₹14.7-20 Cr (Moderately High)
498.0,Punjab,SUKHJINDER SINGH RANDHAWA,GURDASPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
499.0,Karnataka,SUNIL BOSE,CHAMARAJANAGAR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
500.0,Maharashtra,Sunil Dattatray Tatkare,RAIGAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
501.0,Bihar,Sunil Kumar,VALMIKI NAGAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
502.0,Bihar,SURENDRA PRASAD YADAV,JAHANABAD,155325714.0,General,8325714.0,5.66,₹14.7-20 Cr (Moderately High)
503.0,Kerala,SURESH GOPI,THRISSUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
504.0,Himachal Pradesh,Suresh Kumar Kashyap,SHIMLA (SC),153563957.11,SC,6563957.110000014,4.47,₹14.7-20 Cr (Moderately High)
505.0,Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
506.0,Uttar Pradesh,Swami Sachchidanandhari Sakshi ji Maharaj,UNNAO,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
507.0,Tamil Nadu,T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
508.0,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,General,52417886.75999999,35.66,₹14.7-20 Cr (Moderately High)
509.0,Uttar Pradesh,TANUJ PUNIA,BARABANKI(SC),148198170.11,SC,1198170.1100000143,0.82,₹14.7-20 Cr (Moderately High)
510.0,Bihar,TARIQ ANWAR,KATIHAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
511.0,Tamil Nadu,Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,196905535.11,General,49905535.110000014,33.95,₹14.7-20 Cr (Moderately High)
512.0,Tamil Nadu,THANGA TAMILSELVAN,THENI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
513.0,Tamil Nadu,THARANIVENTHAN M S,ARANI,168337124.35,General,21337124.349999994,14.52,₹14.7-20 Cr (Moderately High)
514.0,Tamil Nadu,Thiru Dayanidhi Maran,CHENNAI CENTRAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
515.0,Tamil Nadu,Thirumaa Valavan Thol,CHIDAMBARAM(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
516.0,Chhattisgarh,TOKHAN SAHU,BILASPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
517.0,Uttarakhand,TRIVENDRA SINGH RAWAT,HARDWAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
518.0,Uttar Pradesh,UJJWAL RAMAN SINGH,ALLAHABAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
519.0,Rajasthan,UMMEDA RAM BENIWAL,BARMER,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
520.0,Uttar Pradesh,UTKARSH VERMA MADHUR,KHERI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
521.0,Tamil Nadu,V S Matheswaran,NAMAKKAL,162539930.11,General,15539930.110000014,10.57,₹14.7-20 Cr (Moderately High)
522.0,Karnataka,V. SOMANNA,TUMKUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
523.0,Puducherry,Vaithilingam Ve,Puducherry,209368972.11,General,62368972.110000014,42.43,₹20-25 Cr (High)
524.0,Telangana,VAMSI KRISHNA GADDAM,PEDDAPALLE,148451721.11,General,1451721.1100000143,0.99,₹14.7-20 Cr (Moderately High)
525.0,Haryana,VARUN CHAUDHRY,AMBALA (SC),255454264.0,SC,108454264.0,73.78,> ₹25 Cr (Very High)
526.0,Kerala,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,167807990.11,General,20807990.110000014,14.16,₹14.7-20 Cr (Moderately High)
527.0,Chhattisgarh,Vijay Baghel,DURG,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
528.0,Uttar Pradesh,Vijay Kumar Dubey,KUSHI NAGAR,148900000.0,General,1900000.0,1.29,₹14.7-20 Cr (Moderately High)
529.0,Jharkhand,Vijay Kumar Hansdak,RAJMAHAL(ST),147223957.11,ST,223957.1100000143,0.15,₹14.7-20 Cr (Moderately High)
530.0,Bihar,VIJAYLAKSHMI DEVI,SIWAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
531.0,Gujarat,Vinod Chavda,KACHCHH(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
532.0,Uttar Pradesh,VINOD KUMAR BIND,BHADOHI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
533.0,Madhya Pradesh,Virendra Kumar,TIKAMGARH(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
534.0,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
535.0,Maharashtra,VISHAL,SANGLI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
536.0,Jharkhand,Vishnu Dayal Ram,PALAMU(SC),158176083.11,SC,11176083.110000014,7.6,₹14.7-20 Cr (Moderately High)
537.0,Madhya Pradesh,Vishnu Dutt Sharma,KHAJURAHO,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
538.0,Karnataka,VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
539.0,Bihar,VIVEK THAKUR,NAWADA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
540.0,Andhra Pradesh,Y S Avinash Reddy,KADAPA,156430260.11,General,9430260.110000014,6.42,₹14.7-20 Cr (Moderately High)
541.0,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
542.0,Delhi,Yogendra Chandoliya,NORTH WEST DELHI(SC),147876307.0,SC,876307.0,0.6,₹14.7-20 Cr (Moderately High)
543.0,Uttar Pradesh,ZIA UR REHMAN,SAMBHAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
