Sr_No,State,MP_Name,Constituency,Allocated_Amount,Constituency_Type,Deviation,Deviation_Pct,Allocation_Bucket
326.0,Assam,PHANI BHUSAN CHOUDHURY,BARPETA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
327.0,Maharashtra,Piyush Vedprakash Goyal,MUMBAI NORTH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
328.0,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
329.0,Gujarat,Prabhubhai Nagarbhai Vasava,BARDOLI(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
330.0,Assam,Pradan Baruah,LAKHIMPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
331.0,Bihar,Pradeep Kumar Singh,ARARIA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
332.0,Odisha,PRADEEP PUROHIT,BARGARH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
333.0,Assam,Pradyut Bordoloi,NOWGONG,98000000.0,General,-49000000.0,-33.33,< ₹10 Cr (Severely Low)
334.0,Karnataka,Pralhad Venkatesh Joshi,DHARWAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
335.0,Maharashtra,PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
336.0,West Bengal,Prasun Banerjee,HOWRAH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
337.0,Odisha,Pratap Chandra Sarangi,BALASORE,147064254.11,General,64254.110000014305,0.04,₹14.7-20 Cr (Moderately High)
338.0,Maharashtra,Prataprao Jadhav,BULDHANA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
339.0,West Bengal,Pratima Mondal,JOYNAGAR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
340.0,Delhi,Praveen Khandelwal,CHANDINI CHOWK,147470276.0,General,470276.0,0.32,₹14.7-20 Cr (Moderately High)
341.0,Uttar Pradesh,PRAVEEN PATEL,PHULPUR,151559884.09,General,4559884.090000004,3.1,₹14.7-20 Cr (Moderately High)
342.0,Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
343.0,Kerala,Priyanka Gandhi Vadra,WAYANAD,122500000.0,General,-24500000.0,-16.67,₹10-14.7 Cr (Below Standard)
344.0,Karnataka,PRIYANKA SATISH JARKIHOLI,CHIKKODI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
345.0,West Bengal,Prof Sougata Ray,DUM DUM,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
346.0,Uttar Pradesh,Prof SP Singh Baghel,AGRA(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
347.0,Uttar Pradesh,PUSHPENDRA SAROJ,KAUSHAMBI(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
348.0,Andhra Pradesh,Putta Mahesh Kumar,ELURU,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
349.0,Uttar Pradesh,R.K. CHAUDHARY,MOHANLALGANJ(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
350.0,Odisha,RABINDRA NARAYAN BEHERA,JAJPUR(SC),147064617.11,SC,64617.110000014305,0.04,₹14.7-20 Cr (Moderately High)
351.0,West Bengal,RACHNA BANERJEE,HOOGHLY,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
352.0,Bihar,Radha Mohan Singh,PURVI CHAMPARAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
353.0,Karnataka,RADHAKRISHNA,GULBARGA(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
354.0,Chhattisgarh,RADHE SHYAM RATHIYA,RAIGARH(ST),159706972.09,ST,12706972.090000004,8.64,₹14.7-20 Cr (Moderately High)
355.0,Uttar Pradesh,RAHUL GANDHI,RAE BARELI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
356.0,Rajasthan,Rahul Kaswan,CHURU,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
357.0,Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.37,General,16058785.370000005,10.92,₹14.7-20 Cr (Moderately High)
358.0,Bihar,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
359.0,Rajasthan,RAJ KUMAR ROAT,BANSWARA(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
360.0,Bihar,RAJA RAM SINGH,KARAKAT,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
361.0,Maharashtra,RAJABHAU,NASHIK,152878682.11,General,5878682.110000014,4.0,₹14.7-20 Cr (Moderately High)
362.0,Himachal Pradesh,RAJEEV BHARDWAJ,KANGRA,179388967.11,General,32388967.110000014,22.03,₹14.7-20 Cr (Moderately High)
363.0,Uttar Pradesh,RAJEEV RAI,GHOSI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
364.0,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
365.0,Bihar,RAJESH VERMA,KHAGARIA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
366.0,Gujarat,Rajeshbhai Naranbhai Chudasama,JUNAGADH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
367.0,Bihar,Rajiv Pratap Rudy,SARAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
368.0,Bihar,Rajiv Ranjan (Lalan) Singh,MUNGER,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
369.0,Uttar Pradesh,Rajkumar Chahar,FATEHPUR SIKRI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
370.0,Uttar Pradesh,Rajnath Singh,LUCKNOW,154808797.11,General,7808797.110000014,5.31,₹14.7-20 Cr (Moderately High)
371.0,Gujarat,RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
372.0,West Bengal,Raju Bista,DARJEELING,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
373.0,Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
374.0,Assam,RAKIBUL HUSSAIN,DHUBRI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
375.0,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,General,57176957.110000014,38.9,₹20-25 Cr (High)
376.0,Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.11,General,4746878.110000014,3.23,₹14.7-20 Cr (Moderately High)
377.0,Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
378.0,Uttar Pradesh,RAMASHANKAR RAJBHAR,SALEMPUR,160056927.07,General,13056927.069999993,8.88,₹14.7-20 Cr (Moderately High)
379.0,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.11,General,4231957.110000014,2.88,₹14.7-20 Cr (Moderately High)
